Alliance Id,Alliance Tag,Building Power,City Sieges,Defeats,Faction,Gems,Gems Spent,Gold,Gold Spent,Helps Given,Hero Power,Highest Power,Home Server,In Power Rankings,Killcount T1,Killcount T2,Killcount T3,Killcount T4,Killcount T5,Legion Power,Lord Id,Mana,Mana Spent,Map Id,merits,Name,Ore,Power,Resources Given,Resources Given Count,Scouted,Stone Spent,T4 +T5,Tech Power,Town Center,Units Dead,Units Healed,Units Killed,Victories,Wood,Wood Spent
322047,EIf,1659285,-,2,League of Order,-,6840,187604062,207753438,1012,415700,2438993,176,True,0,0,0,0,0,321172,17426818,10410432,13266250,176,-,sifram001,163388146,2438993,117089776,68,-,156107956,0,42836,21,-,74,-,9,210855074,225668142
-,-,892851,-,150,League of Order,-,5720,1296366,18148000,2567,895930,2440456,176,True,0,0,0,764,3802,375696,14239650,1068742,1525500,176,-,Farmermann,699449,2440456,-,-,-,6305500,4566,275979,20,-,329480,4566,737,1903947,21116500
324423,ICH,1377494,-,5,League of Order,-,25160,631544690,682575470,2160,456500,2446166,176,True,0,0,0,0,0,528310,15928018,-,20403300,176,-,ichi chihaja 11,190059821,2446166,1021382383,475,-,269173538,0,83862,21,-,28310,-,72,672668749,703464940
322047,EIf,1677711,-,1,League of Order,-,5361,201584475,198760469,981,404800,2450671,176,True,0,0,0,0,0,323322,17426930,11812471,12491900,176,-,sifram002,169045410,2450671,97702412,35,-,138929119,0,44838,21,-,19273,-,12,212654621,204295737
339598,EIFa,854076,-,113,League of Order,-,47251,11803890,100154599,2647,613260,2458598,176,True,3680,37,23398,2396,1085,590196,15899033,966000,26896332,176,544,this is Onyx,474066,2458598,80000,8,10,69945063,3481,401066,18,19929,466536,30596,251,2898240,105974629
336902,RsS,945856,-,342,Springwardens,-,27125,135932078,155431806,1335,543840,2467406,176,True,0,0,0,0,0,502413,16120718,4631121,24266500,176,-,39Duckbig,85512805,2467406,56453020,41,-,95350925,0,475297,19,-,182992,-,1138,130385678,162432094
322047,EIf,1678750,-,2,League of Order,-,6180,234520257,257805262,880,420200,2477312,176,True,0,0,0,0,0,334536,17364714,6862800,12334800,176,-,erfram02,203152924,2477312,213916671,77,-,189842816,0,43826,21,-,231,-,,233135662,255256319
338497,DE4D,1504594,-,3,League of Order,-,15701,456437388,556309761,3360,462590,2479501,176,True,0,0,0,0,0,347430,19025025,3738000,28139850,176,-,SuperSyze,291032421,2479501,733109116,360,-,331579878,0,164887,21,-,291,-,8,409183178,544802576
287079,M ~N,1017923,-,183,League of Order,217,4392,58425003,88208100,76,900400,2496917,176,True,0,0,0,0,0,273466,7450151,9374731,14754850,176,-,Sonu123456,44213012,2496917,-,-,-,63805350,0,305128,19,106,192088,910,741,61882259,90143800
322047,EIf,1797604,-,,League of Order,-,6400,203364642,232113367,1083,360800,2510811,176,True,0,0,0,0,0,319687,17370180,4939200,12703750,176,-,sanfram01,174557730,2510811,143976651,52,-,165440794,0,32720,21,-,1,-,4,230080564,246408101
